epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
72,0.9044,0.8921,0.9556,0.6565,0.7069,0.7946,0.6682,0.7426,0.8404,0.7990,0.8038,0.9050
73,0.8894,0.8849,0.9540,0.6605,0.7043,0.7805,0.6538,0.7339,0.8286,0.7821,0.7893,0.8925
74,0.9074,0.8939,0.9577,0.7063,0.7119,0.7989,0.6470,0.7390,0.8327,0.7842,0.7964,0.8972
75,0.9126,0.8956,0.9576,0.6705,0.7120,0.8028,0.6487,0.7441,0.8514,0.7960,0.7995,0.9043
76,0.9025,0.8904,0.9569,0.6745,0.7335,0.8212,0.6498,0.7555,0.8470,0.7836,0.8107,0.9014
77,0.8182,0.8499,0.9390,0.6175,0.6698,0.7637,0.6035,0.6950,0.8005,0.7501,0.7505,0.8695
78,0.8081,0.8451,0.9393,0.6306,0.6844,0.7737,0.6644,0.7447,0.8440,0.7974,0.7901,0.8955
79,0.8978,0.8837,0.9516,0.6846,0.7153,0.7987,0.6595,0.7512,0.8467,0.7848,0.8067,0.9037
80,0.9075,0.8926,0.9560,0.6671,0.7054,0.7813,0.6646,0.7477,0.8355,0.7993,0.8034,0.8850
81,0.9036,0.8919,0.9544,0.6730,0.7225,0.8045,0.6741,0.7586,0.8418,0.8091,0.8114,0.9013
82,0.9201,0.8982,0.9584,0.6647,0.7193,0.8023,0.6760,0.7528,0.8469,0.7988,0.8154,0.9093
83,0.9165,0.8988,0.9590,0.6832,0.7168,0.8053,0.6770,0.7259,0.8252,0.8018,0.7827,0.8919
84,0.9101,0.8953,0.9551,0.6892,0.7253,0.8102,0.6571,0.7267,0.8339,0.8070,0.7878,0.9017
85,0.9147,0.8962,0.9564,0.7001,0.7149,0.7994,0.6729,0.7249,0.8292,0.8153,0.7897,0.8941
86,0.7965,0.8404,0.9396,0.6166,0.6724,0.7650,0.6493,0.7356,0.8397,0.7696,0.7924,0.8908
87,0.8189,0.8450,0.9385,0.6316,0.6822,0.7748,0.6453,0.7469,0.8376,0.8018,0.7952,0.8912
