epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
123,0.9515,0.9322,0.9691,0.7053,0.7352,0.8092,0.6627,0.7515,0.8418,0.8159,0.8113,0.9085
124,0.9529,0.9327,0.9706,0.7012,0.7351,0.8149,0.6665,0.7502,0.8416,0.8163,0.8108,0.9107
125,0.9514,0.9329,0.9704,0.7056,0.7336,0.8097,0.6703,0.7483,0.8384,0.8215,0.8095,0.9071
126,0.9474,0.9332,0.9712,0.7091,0.7306,0.8116,0.6709,0.7491,0.8409,0.8223,0.8109,0.9092
127,0.9509,0.9330,0.9701,0.7125,0.7376,0.8145,0.6727,0.7495,0.8403,0.8225,0.8083,0.9073
128,0.9495,0.9340,0.9716,0.7055,0.7328,0.8101,0.6641,0.7551,0.8445,0.8161,0.8152,0.9105
129,0.9535,0.9337,0.9706,0.7010,0.7382,0.8169,0.6649,0.7511,0.8415,0.8156,0.8128,0.9098
130,0.9530,0.9337,0.9707,0.7075,0.7338,0.8137,0.6633,0.7434,0.8380,0.8193,0.8066,0.9077
131,0.9511,0.9338,0.9712,0.7038,0.7357,0.8132,0.6630,0.7537,0.8440,0.8155,0.8153,0.9136
132,0.9481,0.9341,0.9709,0.7170,0.7362,0.8142,0.6619,0.7488,0.8417,0.8170,0.8095,0.9094
133,0.9485,0.9331,0.9698,0.7055,0.7373,0.8164,0.6668,0.7539,0.8427,0.8120,0.8148,0.9100
134,0.9498,0.9346,0.9719,0.7107,0.7337,0.8129,0.6647,0.7520,0.8424,0.8171,0.8121,0.9109
135,0.9467,0.9348,0.9719,0.7159,0.7362,0.8160,0.6636,0.7496,0.8375,0.8176,0.8130,0.9104
136,0.9529,0.9354,0.9720,0.7086,0.7360,0.8157,0.6661,0.7463,0.8433,0.8209,0.8067,0.9089
137,0.9565,0.9356,0.9706,0.7115,0.7390,0.8183,0.6569,0.7635,0.8513,0.8181,0.8179,0.9115
138,0.9472,0.9351,0.9707,0.7150,0.7374,0.8167,0.6584,0.7536,0.8485,0.8192,0.8108,0.9114
139,0.9491,0.9360,0.9724,0.7176,0.7375,0.8185,0.6664,0.7501,0.8399,0.8181,0.8117,0.9084
140,0.9540,0.9364,0.9717,0.7074,0.7323,0.8156,0.6658,0.7533,0.8471,0.8192,0.8108,0.9094
141,0.9497,0.9365,0.9719,0.7094,0.7380,0.8159,0.6673,0.7554,0.8455,0.8174,0.8133,0.9101
142,0.9488,0.9362,0.9719,0.7044,0.7372,0.8152,0.6611,0.7538,0.8435,0.8164,0.8145,0.9104
143,0.9529,0.9364,0.9714,0.7118,0.7380,0.8180,0.6606,0.7426,0.8417,0.8178,0.8058,0.9091
144,0.9542,0.9368,0.9719,0.7269,0.7367,0.8208,0.6741,0.7535,0.8444,0.8198,0.8118,0.9099
145,0.9496,0.9352,0.9721,0.7192,0.7343,0.8119,0.6657,0.7437,0.8362,0.8190,0.8041,0.9073
146,0.9531,0.9370,0.9726,0.7111,0.7322,0.8120,0.6650,0.7449,0.8383,0.8180,0.8045,0.9043
147,0.9522,0.9366,0.9703,0.7188,0.7409,0.8207,0.6721,0.7448,0.8376,0.8223,0.8027,0.9031
148,0.9520,0.9376,0.9731,0.7162,0.7405,0.8178,0.6660,0.7525,0.8395,0.8098,0.8131,0.9088
149,0.9515,0.9377,0.9729,0.7106,0.7377,0.8174,0.6835,0.7477,0.8417,0.8221,0.8041,0.9055
150,0.9510,0.9375,0.9721,0.7278,0.7382,0.8192,0.6736,0.7480,0.8430,0.8204,0.8055,0.9077
151,0.9551,0.9381,0.9720,0.7167,0.7364,0.8160,0.6654,0.7469,0.8359,0.8144,0.8079,0.9073
152,0.9572,0.9379,0.9730,0.7109,0.7367,0.8147,0.6733,0.7568,0.8451,0.8145,0.8148,0.9134
153,0.9535,0.9378,0.9729,0.7118,0.7384,0.8143,0.6668,0.7525,0.8435,0.8185,0.8086,0.9096
154,0.9533,0.9379,0.9729,0.7206,0.7413,0.8215,0.6692,0.7468,0.8373,0.8190,0.8067,0.9065
155,0.9551,0.9383,0.9721,0.7103,0.7371,0.8153,0.6568,0.7506,0.8371,0.8128,0.8119,0.9100
156,0.9490,0.9383,0.9721,0.7218,0.7352,0.8156,0.6733,0.7601,0.8446,0.8211,0.8160,0.9122
157,0.9538,0.9384,0.9719,0.7121,0.7346,0.8152,0.6769,0.7542,0.8458,0.8214,0.8102,0.9095
158,0.9556,0.9387,0.9724,0.7126,0.7359,0.8151,0.6678,0.7566,0.8431,0.8155,0.8136,0.9125
159,0.9553,0.9380,0.9718,0.7163,0.7397,0.8190,0.6749,0.7501,0.8425,0.8205,0.8083,0.9086
