,0,1,2,3
201,0.9974,0.9215594,0.8988892,0.9635083
202,0.99596125,0.5217391,0.9221724,0.95767194
203,0.9948257,0.029411765,0.8712096,0.9618043
204,0.99634767,0.5741445,0.8370265,0.96378195
205,0.99691075,0.48504984,0.844898,0.9583893
206,0.99766773,1.923077e-10,0.85013384,0.94347525
207,0.99920714,1.0,0.89056605,0.91408116
208,0.99713516,1.0,0.32967034,1.4492754e-10
209,0.996555,3.2258066e-10,9.090909e-11,3.236246e-11
210,0.99311584,1.3386881e-11,0.7949413,0.9129066
211,0.9988048,0.9357143,0.8796748,0.90960455
212,0.9987369,0.92537314,0.82081914,0.9155673
213,0.99893844,0.9187621,0.8497317,0.9328358
214,0.99899215,0.8062361,0.833178,0.88297874
215,0.99849004,9.615385e-11,0.5847797,0.6522782
216,0.9980354,1.0,4.3103448e-11,4e-10
217,0.98914117,1.0,1.7513135e-11,1.1947431e-11
218,0.9983692,1.0,0.78968793,0.9583802
219,0.9977495,5.3475935e-11,0.64961636,0.8903654
220,0.98690677,0.41763526,0.76632094,0.9365985
221,0.99718446,0.9179191,0.84480876,0.95721763
222,0.9983843,0.936558,0.8982419,0.97196853
223,0.9980454,0.9244259,0.87700534,0.9761456
224,0.99835455,0.93877554,0.82968855,0.9578544
225,0.9989111,0.9270687,0.88626295,0.9713363
226,0.9986228,0.8900084,0.815534,0.959596
227,0.99841475,0.8265802,0.7608952,0.91721135
