epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
88,0.9175,0.9096,0.9652,0.6930,0.7376,0.8088,0.6688,0.7649,0.8509,0.8111,0.8220,0.9140
89,0.9166,0.9094,0.9648,0.6886,0.7255,0.8022,0.6652,0.7672,0.8471,0.8082,0.8288,0.9134
90,0.9338,0.9215,0.9701,0.6905,0.7323,0.8057,0.6802,0.7651,0.8455,0.8142,0.8218,0.9116
91,0.9390,0.9261,0.9715,0.6978,0.7378,0.8126,0.6766,0.7559,0.8465,0.8095,0.8162,0.9101
92,0.9388,0.9274,0.9716,0.7055,0.7371,0.8075,0.6772,0.7476,0.8448,0.8123,0.8026,0.9021
93,0.9390,0.9284,0.9721,0.7026,0.7379,0.8148,0.6691,0.7629,0.8465,0.8112,0.8200,0.9114
94,0.9426,0.9289,0.9714,0.7036,0.7403,0.8170,0.6689,0.7604,0.8493,0.8112,0.8187,0.9115
95,0.9410,0.9304,0.9727,0.7002,0.7423,0.8169,0.6733,0.7630,0.8485,0.8099,0.8193,0.9126
96,0.9407,0.9313,0.9728,0.6887,0.7394,0.8161,0.6701,0.7536,0.8470,0.8118,0.8147,0.9098
97,0.9376,0.9318,0.9727,0.7138,0.7371,0.8164,0.6780,0.7591,0.8413,0.8122,0.8194,0.9114
98,0.9414,0.9328,0.9728,0.7023,0.7351,0.8114,0.6645,0.7515,0.8455,0.8094,0.8135,0.9104
99,0.9437,0.9335,0.9743,0.7009,0.7374,0.8165,0.6685,0.7523,0.8408,0.8102,0.8109,0.9081
100,0.9400,0.9343,0.9744,0.6989,0.7439,0.8243,0.6662,0.7558,0.8522,0.8086,0.8192,0.9125
101,0.9452,0.9348,0.9737,0.7068,0.7373,0.8149,0.6562,0.7553,0.8484,0.8100,0.8169,0.9102
102,0.9426,0.9354,0.9748,0.7014,0.7347,0.8097,0.6690,0.7536,0.8490,0.8126,0.8133,0.9082
103,0.9387,0.9355,0.9743,0.6986,0.7382,0.8152,0.6526,0.7540,0.8511,0.8098,0.8126,0.9085
104,0.9448,0.9361,0.9754,0.6957,0.7383,0.8150,0.6632,0.7440,0.8476,0.8072,0.8046,0.9068
105,0.9355,0.9369,0.9743,0.6859,0.7411,0.8195,0.6686,0.7345,0.8418,0.8084,0.8027,0.9044
106,0.9367,0.9368,0.9747,0.7015,0.7396,0.8171,0.6643,0.7466,0.8458,0.8071,0.8091,0.9085
107,0.9431,0.9377,0.9755,0.7034,0.7388,0.8140,0.6612,0.7499,0.8466,0.8121,0.8115,0.9078
108,0.9387,0.9378,0.9749,0.7065,0.7366,0.8163,0.6613,0.7559,0.8503,0.8090,0.8158,0.9094
109,0.9421,0.9388,0.9764,0.6980,0.7431,0.8175,0.6533,0.7530,0.8463,0.8062,0.8139,0.9103
110,0.9373,0.9387,0.9752,0.6981,0.7416,0.8167,0.6496,0.7479,0.8448,0.8087,0.8145,0.9099
111,0.9381,0.9393,0.9756,0.6955,0.7399,0.8173,0.6504,0.7545,0.8490,0.8109,0.8195,0.9124
112,0.9368,0.9397,0.9767,0.6956,0.7372,0.8166,0.6575,0.7414,0.8394,0.8059,0.8049,0.9071
113,0.9448,0.9396,0.9764,0.6988,0.7391,0.8193,0.6669,0.7372,0.8425,0.8089,0.8004,0.9055
114,0.9390,0.9406,0.9768,0.6982,0.7393,0.8193,0.6545,0.7464,0.8486,0.8088,0.8090,0.9082
115,0.9356,0.9404,0.9760,0.6908,0.7414,0.8199,0.6514,0.7489,0.8466,0.8118,0.8116,0.9099
116,0.9373,0.9412,0.9767,0.7021,0.7399,0.8201,0.6563,0.7438,0.8455,0.8092,0.8093,0.9090
117,0.9350,0.9381,0.9757,0.7024,0.7380,0.8167,0.6583,0.7503,0.8466,0.8094,0.8129,0.9091
118,0.9389,0.9413,0.9759,0.6845,0.7374,0.8200,0.6506,0.7489,0.8483,0.8083,0.8136,0.9111
119,0.9392,0.9423,0.9765,0.6930,0.7393,0.8162,0.6516,0.7459,0.8439,0.8067,0.8127,0.9084
120,0.9405,0.9421,0.9775,0.6929,0.7434,0.8219,0.6532,0.7432,0.8451,0.8134,0.8076,0.9064
121,0.9390,0.9428,0.9769,0.6927,0.7411,0.8194,0.6524,0.7425,0.8381,0.8074,0.8099,0.9062
122,0.9374,0.9421,0.9766,0.7017,0.7338,0.8133,0.6415,0.7375,0.8462,0.8096,0.7995,0.9063
123,0.9409,0.9429,0.9776,0.6918,0.7392,0.8171,0.6590,0.7467,0.8412,0.8100,0.8077,0.9058
124,0.9380,0.9433,0.9768,0.6892,0.7411,0.8192,0.6691,0.7404,0.8390,0.8106,0.8115,0.9087
125,0.9361,0.9422,0.9773,0.6920,0.7391,0.8158,0.6588,0.7415,0.8414,0.8107,0.8096,0.9097
126,0.9374,0.9435,0.9769,0.6938,0.7385,0.8171,0.6608,0.7421,0.8448,0.8111,0.8048,0.9062
127,0.9354,0.9437,0.9781,0.6993,0.7423,0.8190,0.6488,0.7332,0.8376,0.8053,0.8015,0.9053
