epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
119,0.8998,0.8884,0.9261,0.8989,0.8904,0.9277,0.7985,0.8293,0.8930,0.8847,0.8717,0.9305
120,0.8928,0.8899,0.9287,0.8942,0.8907,0.9283,0.8019,0.8297,0.8919,0.8860,0.8716,0.9296
121,0.8999,0.8912,0.9249,0.8980,0.8876,0.9254,0.8062,0.8295,0.8876,0.8847,0.8721,0.9281
122,0.8994,0.8911,0.9261,0.8994,0.8910,0.9286,0.8122,0.8275,0.8931,0.8830,0.8698,0.9332
123,0.9016,0.8906,0.9291,0.9053,0.8919,0.9247,0.8074,0.8290,0.8914,0.8855,0.8701,0.9319
124,0.9009,0.8930,0.9275,0.9022,0.8904,0.9275,0.8057,0.8313,0.8955,0.8864,0.8721,0.9315
125,0.9028,0.8918,0.9263,0.9078,0.8912,0.9264,0.8030,0.8262,0.8964,0.8826,0.8711,0.9319
126,0.9041,0.8918,0.9302,0.8998,0.8928,0.9290,0.7922,0.8279,0.8952,0.8845,0.8713,0.9319
127,0.9029,0.8931,0.9262,0.9072,0.8935,0.9311,0.8022,0.8270,0.8968,0.8838,0.8687,0.9342
128,0.9019,0.8910,0.9280,0.9005,0.8939,0.9275,0.7970,0.8209,0.8920,0.8833,0.8661,0.9299
129,0.9033,0.8936,0.9286,0.9049,0.8949,0.9341,0.8033,0.8301,0.8857,0.8813,0.8717,0.9266
130,0.9031,0.8951,0.9280,0.9083,0.8961,0.9312,0.8069,0.8266,0.8906,0.8828,0.8655,0.9324
131,0.9071,0.8922,0.9289,0.9039,0.8946,0.9262,0.8044,0.8309,0.8968,0.8843,0.8725,0.9316
132,0.9067,0.8962,0.9278,0.9042,0.8945,0.9306,0.7942,0.8299,0.8948,0.8824,0.8722,0.9291
133,0.8943,0.8907,0.9257,0.9050,0.8932,0.9270,0.7919,0.8370,0.8959,0.8747,0.8726,0.9337
134,0.9028,0.8913,0.9252,0.9047,0.8934,0.9292,0.8037,0.8297,0.8969,0.8846,0.8734,0.9326
135,0.9024,0.8953,0.9315,0.9095,0.8967,0.9285,0.8100,0.8290,0.8963,0.8850,0.8716,0.9331
136,0.9054,0.8959,0.9316,0.9045,0.8977,0.9320,0.8054,0.8286,0.8954,0.8846,0.8722,0.9317
137,0.9070,0.8973,0.9329,0.9124,0.8982,0.9308,0.8034,0.8271,0.8928,0.8836,0.8703,0.9327
138,0.9116,0.8956,0.9318,0.9089,0.8977,0.9337,0.8021,0.8309,0.8977,0.8829,0.8720,0.9326
139,0.9107,0.8983,0.9303,0.9059,0.8962,0.9320,0.8157,0.8274,0.8945,0.8844,0.8717,0.9312
140,0.9114,0.8953,0.9278,0.9013,0.8980,0.9306,0.8077,0.8289,0.8878,0.8835,0.8695,0.9315
141,0.9092,0.8959,0.9343,0.9052,0.8965,0.9270,0.8056,0.8333,0.8888,0.8823,0.8731,0.9285
142,0.9050,0.8978,0.9309,0.9130,0.8976,0.9350,0.8144,0.8251,0.8927,0.8868,0.8670,0.9311
143,0.9096,0.8968,0.9321,0.9054,0.8975,0.9317,0.8140,0.8291,0.8947,0.8816,0.8710,0.9339
144,0.9087,0.8969,0.9321,0.9102,0.8973,0.9286,0.8055,0.8284,0.8983,0.8830,0.8712,0.9329
145,0.9105,0.8973,0.9347,0.9110,0.8984,0.9371,0.8012,0.8265,0.8908,0.8807,0.8723,0.9313
146,0.9070,0.8980,0.9311,0.9081,0.8986,0.9331,0.8024,0.8337,0.8908,0.8819,0.8721,0.9295
147,0.9101,0.8991,0.9349,0.9145,0.8973,0.9310,0.7898,0.8325,0.8976,0.8800,0.8718,0.9322
148,0.8903,0.8948,0.9272,0.8984,0.8982,0.9295,0.7827,0.8309,0.8922,0.8760,0.8695,0.9303
149,0.9020,0.8987,0.9329,0.9119,0.8986,0.9305,0.8006,0.8317,0.8883,0.8806,0.8692,0.9308
150,0.9150,0.9002,0.9311,0.9111,0.9000,0.9288,0.7979,0.8365,0.8948,0.8819,0.8706,0.9299
151,0.9119,0.9004,0.9325,0.9139,0.9015,0.9333,0.8029,0.8325,0.8938,0.8799,0.8705,0.9314
152,0.9094,0.8975,0.9320,0.9142,0.9006,0.9305,0.8030,0.8310,0.8979,0.8849,0.8710,0.9322
153,0.9149,0.9002,0.9319,0.9131,0.9008,0.9339,0.7948,0.8269,0.8966,0.8858,0.8681,0.9312
154,0.9196,0.8991,0.9313,0.9148,0.8988,0.9333,0.7904,0.8337,0.8935,0.8823,0.8708,0.9307
